Target Distance:	1000, Step Size: 20
2645: (x,y) = (-799.021, -10.208)
2646: (x,y) = (-798.323, -30.1959)
2647: (x,y) = (-778.351, -29.1491)
2648: (x,y) = (-797.477, -34.9966)
2649: (x,y) = (-804.317, -16.2027)
2650: (x,y) = (-811.485, 2.46889)
2651: (x,y) = (-794.164, -7.53111)
2652: (x,y) = (-805.92, -23.7115)
2653: (x,y) = (-786.115, -26.4949)
2654: (x,y) = (-777.347, -8.51903)
2655: (x,y) = (-795.891, -1.0269)
2656: (x,y) = (-804.658, -19.0028)
2657: (x,y) = (-818.8, -33.1449)
2658: (x,y) = (-798.949, -35.5823)
2659: (x,y) = (-798.6, -15.5854)
2660: (x,y) = (-794.784, 4.04719)
2661: (x,y) = (-789.608, -15.2713)
2662: (x,y) = (-808.018, -7.4567)
2663: (x,y) = (-821.401, -22.3196)
2664: (x,y) = (-803.274, -30.772)
2665: (x,y) = (-783.711, -34.9302)
2666: (x,y) = (-796.833, -50.0244)
2667: (x,y) = (-803.673, -31.2305)
2668: (x,y) = (-785.129, -23.7384)
2669: (x,y) = (-804.98, -21.301)
2670: (x,y) = (-824.968, -20.603)
2671: (x,y) = (-804.968, -20.603)
2672: (x,y) = (-800.13, -1.19711)
2673: (x,y) = (-819.355, 4.31563)
2674: (x,y) = (-837.175, -4.76418)
2675: (x,y) = (-823.282, 9.62262)
2676: (x,y) = (-804.057, 4.10987)
2677: (x,y) = (-820.029, -7.92643)
2678: (x,y) = (-817.939, -27.8169)
2679: (x,y) = (-798.713, -22.3041)
2680: (x,y) = (-779.308, -17.4657)
2681: (x,y) = (-789.004, -34.9581)
2682: (x,y) = (-805.777, -45.8509)
2683: (x,y) = (-809.935, -65.4138)
2684: (x,y) = (-794.175, -77.727)
2685: (x,y) = (-812.969, -84.5674)
2686: (x,y) = (-795.477, -74.8712)
2687: (x,y) = (-810.104, -61.2313)
2688: (x,y) = (-808.013, -41.3408)
2689: (x,y) = (-822.876, -54.7235)
2690: (x,y) = (-810.84, -38.7507)
2691: (x,y) = (-830.327, -34.2517)
2692: (x,y) = (-847.47, -23.951)
2693: (x,y) = (-866.492, -17.7706)
2694: (x,y) = (-849.171, -27.7706)
2695: (x,y) = (-835.531, -42.3977)
2696: (x,y) = (-817.26, -34.263)
2697: (x,y) = (-837.257, -34.612)
2698: (x,y) = (-822.394, -47.9946)
2699: (x,y) = (-834.981, -63.5375)
2700: (x,y) = (-843.748, -45.5617)
2701: (x,y) = (-830.108, -60.1887)
2702: (x,y) = (-833.924, -40.5562)
2703: (x,y) = (-842.377, -22.43)
2704: (x,y) = (-861.864, -26.9291)
2705: (x,y) = (-881.788, -28.6722)
2706: (x,y) = (-899.764, -19.9047)
2707: (x,y) = (-907.899, -38.1757)
2708: (x,y) = (-890.755, -48.4764)
2709: (x,y) = (-910.451, -45.0035)
2710: (x,y) = (-911.498, -64.976)
2711: (x,y) = (-925.64, -50.8339)
2712: (x,y) = (-936.239, -33.8729)
2713: (x,y) = (-939.367, -14.1192)
2714: (x,y) = (-923.395, -26.1555)
2715: (x,y) = (-929.906, -7.24511)
2716: (x,y) = (-942.492, 8.29781)
2717: (x,y) = (-956.635, -5.84433)
2718: (x,y) = (-953.851, -25.6497)
2719: (x,y) = (-935.58, -33.7844)
2720: (x,y) = (-918.437, -44.0852)
2721: (x,y) = (-936.981, -36.5931)
2722: (x,y) = (-939.764, -16.7877)
2723: (x,y) = (-955.524, -29.1009)
2724: (x,y) = (-970.845, -41.9567)
2725: (x,y) = (-984.485, -56.5837)
2726: (x,y) = (-976.67, -74.9938)
2727: (x,y) = (-966.67, -92.3144)
2728: (x,y) = (-951.576, -79.1932)
2729: (x,y) = (-935.604, -91.2295)
2730: (x,y) = (-942.771, -109.901)
2731: (x,y) = (-923.075, -113.374)
2732: (x,y) = (-931.209, -131.645)
2733: (x,y) = (-914.629, -120.461)
2734: (x,y) = (-916.372, -100.537)
2735: (x,y) = (-896.521, -98.0998)
2736: (x,y) = (-878.25, -89.9651)
2737: (x,y) = (-859.578, -82.7977)
2738: (x,y) = (-873.218, -97.4248)
2739: (x,y) = (-860.363, -112.746)
2740: (x,y) = (-854.515, -93.6196)
2741: (x,y) = (-834.564, -95.0147)
2742: (x,y) = (-832.473, -75.1243)
2743: (x,y) = (-815.512, -85.7227)
2744: (x,y) = (-835.436, -87.4658)
2745: (x,y) = (-827.302, -105.737)
2746: (x,y) = (-816.409, -122.51)
2747: (x,y) = (-835.535, -116.663)
2748: (x,y) = (-855.486, -115.268)
2749: (x,y) = (-853.743, -135.191)
2750: (x,y) = (-872.014, -127.057)
2751: (x,y) = (-889.99, -118.289)
2752: (x,y) = (-909.011, -112.109)
2753: (x,y) = (-919.011, -129.429)
2754: (x,y) = (-935.394, -117.958)
2755: (x,y) = (-932.61, -98.1526)
2756: (x,y) = (-920.024, -113.695)
2757: (x,y) = (-908.553, -97.3124)
2758: (x,y) = (-928.549, -97.6615)
2759: (x,y) = (-908.987, -93.5032)
2760: (x,y) = (-916.154, -74.8316)
2761: (x,y) = (-925.234, -57.0115)
2762: (x,y) = (-930.072, -37.6056)
2763: (x,y) = (-945.615, -25.0192)
2764: (x,y) = (-963.886, -16.8845)
2765: (x,y) = (-945.615, -25.0192)
2766: (x,y) = (-936.535, -42.8393)
2767: (x,y) = (-956.426, -44.9299)
2768: (x,y) = (-949.585, -26.136)
2769: (x,y) = (-961.899, -41.8962)
2770: (x,y) = (-964.336, -22.0453)
2771: (x,y) = (-947.375, -11.4469)
2772: (x,y) = (-940.208, 7.22467)
2773: (x,y) = (-953.59, -7.63823)
2774: (x,y) = (-972.996, -2.79979)
2775: (x,y) = (-968.838, -22.3627)
2776: (x,y) = (-953.078, -34.676)
2777: (x,y) = (-933.227, -37.1134)
2778: (x,y) = (-927.714, -17.8881)
2779: (x,y) = (-938.898, -34.4689)
2780: (x,y) = (-958.788, -32.3783)
2781: (x,y) = (-939.662, -38.2257)
2782: (x,y) = (-940.011, -58.2227)
2783: (x,y) = (-958.805, -51.3823)
2784: (x,y) = (-941.844, -61.9807)
2785: (x,y) = (-936.668, -81.2992)
2786: (x,y) = (-946.668, -98.6197)
2787: (x,y) = (-956.969, -115.763)
2788: (x,y) = (-937.215, -118.892)
2789: (x,y) = (-933.057, -99.3288)
2790: (x,y) = (-914.263, -92.4884)
2791: (x,y) = (-914.612, -72.4914)
2792: (x,y) = (-900.47, -58.3493)
2793: (x,y) = (-881.798, -65.5167)
2794: (x,y) = (-863.254, -73.0088)
2795: (x,y) = (-861.859, -92.9601)
2796: (x,y) = (-856.683, -112.279)
2797: (x,y) = (-870.323, -126.906)
2798: (x,y) = (-850.76, -122.747)
2799: (x,y) = (-870.514, -125.876)
2800: (x,y) = (-881.112, -142.837)
2801: (x,y) = (-877.639, -162.533)
2802: (x,y) = (-896.958, -167.71)
2803: (x,y) = (-916.363, -172.548)
2804: (x,y) = (-904.892, -156.165)
2805: (x,y) = (-918.275, -141.302)
2806: (x,y) = (-918.624, -121.305)
2807: (x,y) = (-932.517, -106.918)
2808: (x,y) = (-925.676, -88.1245)
2809: (x,y) = (-939.059, -73.2616)
2810: (x,y) = (-929.059, -90.5821)
2811: (x,y) = (-917.587, -74.1991)
2812: (x,y) = (-937.393, -71.4156)
2813: (x,y) = (-948.577, -87.9964)
2814: (x,y) = (-929.666, -81.485)
2815: (x,y) = (-933.824, -101.048)
2816: (x,y) = (-937.641, -120.68)
2817: (x,y) = (-950.762, -105.586)
2818: (x,y) = (-958.254, -87.0426)
2819: (x,y) = (-939.983, -95.1774)
2820: (x,y) = (-953.623, -109.804)
2821: (x,y) = (-971.115, -119.501)
2822: (x,y) = (-951.118, -119.152)
2823: (x,y) = (-967.091, -107.115)
2824: (x,y) = (-987.064, -106.069)
2825: (x,y) = (-976.465, -123.03)
2826: (x,y) = (-959.322, -112.729)
2827: (x,y) = (-967.457, -131)
2828: (x,y) = (-971.956, -150.487)
2829: (x,y) = (-955.775, -162.243)
2830: (x,y) = (-975.763, -162.941)
2831: (x,y) = (-958.802, -173.539)
2832: (x,y) = (-977.823, -179.719)
2833: (x,y) = (-958.697, -185.567)
2834: (x,y) = (-962.514, -205.199)
2835: (x,y) = (-946.541, -193.163)
2836: (x,y) = (-940.029, -174.253)
2837: (x,y) = (-946.21, -193.274)
2838: (x,y) = (-926.319, -195.364)
2839: (x,y) = (-921.82, -175.877)
2840: (x,y) = (-941.626, -173.094)
2841: (x,y) = (-956.012, -186.987)
2842: (x,y) = (-968.868, -202.308)
2843: (x,y) = (-954.005, -215.69)
2844: (x,y) = (-970.388, -204.219)
2845: (x,y) = (-960.999, -221.878)
2846: (x,y) = (-964.472, -202.182)
2847: (x,y) = (-969.31, -182.776)
After 2848 steps, the subject has the following location :
(x,y) = (-985.071, -195.089)
or
(m,a) = (1004.2, -168.798)
Average outward distance per step = 0.352599
